x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y
60460,191,56,29,0,0,0,0,0,0,0,0,0,0,0,N
18330,91,-57,-43,1,0,1,0,0,0,0,0,4000,4000,0,N
50580,134,15,-18,0,0,0,0,0,0,0,0,0,0,0,N
269070,767,-1,4,2,2,0,0,0,0,0,0,800,400,0,W
37360,171,-21,0,1,0,1,0,0,0,0,0,4000,4000,0,N
372770,975,37,32,3,3,0,0,0,0,0,0,1400,700,0,W
44180,203,-10,13,0,0,0,0,0,0,0,0,0,0,0,N
32070,138,-36,-23,0,0,0,0,0,0,0,0,0,0,0,N
31540,121,-32,-30,0,0,0,0,0,0,0,0,0,0,0,N
46380,133,6,-16,1,0,1,0,0,0,0,0,5000,5000,0,N
18160,78,-57,-48,0,0,0,0,0,0,0,0,0,0,0,N
147520,472,-2,-6,0,0,0,0,0,0,0,0,0,0,0,N
202640,588,-33,-41,2,1,1,0,0,0,0,0,4300,4000,0,W
259110,1409,-11,46,1,1,0,0,0,0,0,0,900,900,0,W
40210,193,-71,-59,1,0,1,0,0,0,0,0,5000,5000,0,N
59210,175,-54,-61,0,0,0,0,0,0,0,0,0,0,0,N
590510,1780,23,-6,1,1,0,0,0,0,0,0,800,800,0,W
75930,305,-38,-27,1,0,1,0,0,0,0,0,6000,6000,0,N
73030,240,25,7,0,0,0,0,0,0,0,0,0,0,0,N
317360,1068,-36,-44,0,0,0,0,0,0,0,0,0,0,0,W
227990,734,-52,-59,2,1,1,0,0,0,0,0,4300,4000,0,W
96080,433,60,92,0,0,0,0,0,0,0,0,0,0,0,N
210960,773,-44,-35,1,0,1,0,0,0,0,0,5000,5000,0,W
24900,159,-57,-29,0,0,0,0,0,0,0,0,0,0,0,N
302440,1250,-16,9,2,2,0,0,0,0,0,0,600,300,0,W
46160,250,-16,15,1,0,1,0,0,0,0,0,6000,6000,0,N
436650,1232,23,6,0,0,0,0,0,0,0,0,0,0,0,W
58230,279,8,27,0,0,0,0,0,0,0,0,0,0,0,N
36380,222,-32,-2,1,0,1,0,0,0,0,0,4000,4000,0,N
169370,644,-53,-45,0,0,0,0,0,0,0,0,0,0,0,W
96600,383,87,70,0,0,0,0,0,0,0,0,0,0,0,N
233810,839,-31,-24,0,0,0,0,0,0,0,0,0,0,0,W
149050,697,-54,-35,1,0,1,0,0,0,0,0,6000,6000,0,W
63550,325,15,35,0,0,0,0,0,0,0,0,0,0,0,N
194580,697,-35,-32,0,0,0,0,0,0,0,0,0,0,0,W
63550,325,15,35,0,0,0,0,0,0,0,0,0,0,0,N
194580,697,-35,-32,0,0,0,0,0,0,0,0,0,0,0,W
46020,267,-18,6,1,0,1,0,0,0,0,0,5000,5000,0,N
104390,331,91,29,0,0,0,0,0,0,0,0,0,0,0,N
285750,791,1,-19,0,0,0,0,0,0,0,0,0,0,0,W
26510,106,-55,-60,0,0,0,0,0,0,0,0,0,0,0,N
25580,120,-54,-53,1,0,1,0,0,0,0,0,6000,6000,0,N
298230,916,9,-2,0,0,0,0,0,0,0,0,0,0,0,W
39040,231,-26,-5,1,0,1,0,0,0,0,0,5000,5000,0,N
54990,182,1,-28,0,0,0,0,0,0,0,0,0,0,0,N
172120,537,-35,-41,0,0,0,0,0,0,0,0,0,0,0,W
25280,158,-54,-35,1,0,1,0,0,0,0,0,4000,4000,0,N
270040,717,10,-14,2,2,0,0,0,0,0,0,800,500,0,W
41120,132,-21,-43,0,0,0,0,0,0,0,0,0,0,0,N
22710,68,-57,-70,0,0,0,0,0,0,0,0,0,0,0,N
13160,46,-71,-76,0,0,0,0,0,0,0,0,0,0,0,N
19500,80,-51,-51,1,0,1,0,0,0,0,0,4000,4000,0,N
12970,53,-65,-64,0,0,0,0,0,0,0,0,0,0,0,N
166700,363,-34,-56,0,0,0,0,0,0,0,0,0,0,0,W
274170,997,15,34,0,0,0,0,0,0,0,0,0,0,0,W
56120,222,100,89,1,0,1,0,0,0,0,0,5000,5000,0,N
226790,717,2,0,0,0,0,0,0,0,0,0,0,0,0,W
134640,611,-41,-16,0,0,0,0,0,0,0,0,0,0,0,W
49910,208,61,61,1,0,1,0,0,0,0,0,3000,3000,0,N
328050,707,51,0,1,1,0,0,0,0,0,0,200,200,0,W
140090,380,-40,-46,0,0,0,0,0,0,0,0,0,0,0,W
42820,150,28,9,1,0,1,0,0,0,0,0,3000,3000,0,N
157740,440,-31,-35,0,0,0,0,0,0,0,0,0,0,0,W
325750,1068,50,67,1,0,1,0,0,0,0,0,3000,3000,0,W
300520,894,37,37,0,0,0,0,0,0,0,0,0,0,0,W
465730,1325,-7,-12,1,0,1,0,0,0,0,0,4000,4000,0,W
336600,984,-32,-34,1,0,1,0,0,0,0,0,4000,4000,0,W
112300,263,-55,-65,0,0,0,0,0,0,0,0,0,0,0,N
951410,1332,98,-7,0,0,0,0,0,0,0,0,0,0,0,W
203850,476,-14,-32,1,0,1,0,0,0,0,0,3000,3000,0,N
715390,1923,36,36,1,1,0,0,0,0,0,0,300,300,0,W
160350,828,-31,23,0,0,0,0,0,0,0,0,0,0,0,N
76150,260,-52,-50,1,0,1,0,0,0,0,0,4000,4000,0,N
373180,1246,-32,-14,1,0,1,0,0,0,0,0,2000,2000,0,W
481630,1678,-10,17,0,0,0,0,0,0,0,0,0,0,0,W
620720,1789,17,23,0,0,0,0,0,0,0,0,0,0,0,W
99160,514,-34,4,1,0,1,0,0,0,0,0,4000,4000,0,N
280830,689,94,39,1,0,1,0,0,0,0,0,3000,3000,0,N
557230,1642,2,11,0,0,0,0,0,0,0,0,0,0,0,W
65800,259,-58,-49,1,0,1,0,0,0,0,0,4000,4000,0,N
270490,865,83,78,0,0,0,0,0,0,0,0,0,0,0,N
307540,1020,-44,-32,0,0,0,0,0,0,0,0,0,0,0,W
51230,222,-68,-57,1,0,1,0,0,0,0,0,3000,3000,0,N
314100,904,-41,-37,0,0,0,0,0,0,0,0,0,0,0,W
368340,1325,-28,-4,1,0,1,0,0,0,0,0,2000,2000,0,W
114540,488,-23,0,2,0,2,0,0,0,0,0,8000,5000,0,N
316200,1089,-37,-21,3,1,2,0,0,0,0,0,2700,1000,0,W
209760,919,46,89,0,0,0,0,0,0,0,0,0,0,0,N
46300,197,-69,-63,1,0,1,0,0,0,0,0,5000,5000,0,N
372380,1264,-26,-9,0,0,0,0,0,0,0,0,0,0,0,W
47830,264,-65,-47,1,0,1,0,0,0,0,0,3000,3000,0,N
396530,1209,-10,-13,1,0,1,0,0,0,0,0,6000,6000,0,W
87740,357,-30,-24,0,0,0,0,0,0,0,0,0,0,0,N
74570,308,-41,-35,2,0,2,0,0,0,0,0,4000,3000,0,N
37490,224,-70,-51,0,0,0,0,0,0,0,0,0,0,0,N
303610,1034,-26,-21,0,0,0,0,0,0,0,0,0,0,0,W
278230,1060,-31,-18,1,1,0,0,0,0,0,0,900,900,0,W
64930,273,-35,-33,1,0,1,0,0,0,0,0,5000,5000,0,N
498960,1447,30,17,1,1,0,0,0,0,0,0,900,900,0,W
443740,1321,20,10,0,0,0,0,0,0,0,0,0,0,0,W
39620,195,-61,-53,1,0,1,0,0,0,0,0,4000,4000,0,N
788230,1484,-1,-1,0,0,0,0,0,0,0,0,0,0,0,W
119460,269,-70,-64,0,0,0,0,0,0,0,0,0,0,0,N
65100,172,-82,-75,1,0,1,0,0,0,0,0,3000,3000,0,N
1049580,1807,31,21,0,0,0,0,0,0,0,0,0,0,0,W
715540,1471,-13,-4,2,2,0,0,0,0,0,0,900,600,1,W
92520,169,-73,-74,1,0,0,1,0,0,0,0,10000,10000,1,N
974430,1828,20,20,2,1,0,1,0,0,0,0,20600,20000,0,W
696470,1368,-16,-12,2,1,1,0,0,0,0,0,2400,2000,0,W
61620,195,-33,-4,1,0,1,0,0,0,0,0,3000,3000,0,N
1124850,2153,37,39,3,1,2,0,0,0,0,0,3900,2000,0,W
640820,1235,-25,-23,1,0,1,0,0,0,0,0,5000,5000,0,W
1096910,2037,31,29,2,1,1,0,0,0,0,0,3700,3000,0,W
155540,363,74,79,0,0,0,0,0,0,0,0,0,0,0,N
722590,2125,-17,30,2,0,2,0,0,0,0,0,5000,4000,0,W
582700,1232,-32,-28,1,0,1,0,0,0,0,0,7000,7000,0,W
691310,1416,-14,-6,0,0,0,0,0,0,0,0,0,0,0,W
698810,1279,-11,-14,3,0,3,0,0,0,0,0,8000,4000,0,W
94110,314,-76,-58,0,0,0,0,0,0,0,0,0,0,0,N
716630,1677,-8,14,2,2,0,0,0,0,0,0,700,500,0,W
641120,1571,-17,6,1,1,0,0,0,0,0,0,800,800,0,W
384230,751,4,6,3,1,2,0,0,0,0,0,9700,6000,1,N
790830,1434,5,-4,2,0,1,1,0,0,0,0,13000,10000,0,W
390180,938,6,33,0,0,0,0,0,0,0,0,0,0,0,N
69360,257,-81,-65,1,0,1,0,0,0,0,0,4000,4000,0,N
936850,1737,24,17,2,1,1,0,0,0,0,0,2600,2000,0,W
432690,1012,30,50,0,0,0,0,0,0,0,0,0,0,0,N
441960,1006,-42,-33,3,0,3,0,0,0,0,0,6000,3000,0,W
912890,2001,25,37,0,0,0,0,0,0,0,0,0,0,0,W
446210,1030,-40,-32,0,0,0,0,0,0,0,0,0,0,0,W
84630,233,-75,-67,0,0,0,0,0,0,0,0,0,0,0,N
77540,174,-75,-73,0,0,0,0,0,0,0,0,0,0,0,N
117040,328,-57,-45,1,0,1,0,0,0,0,0,2000,2000,0,N
414700,900,69,63,0,0,0,0,0,0,0,0,0,0,0,N
960770,2117,36,44,0,0,0,0,0,0,0,0,0,0,0,W
763520,2079,5,36,0,0,0,0,0,0,0,0,0,0,0,W
541040,1295,-26,-19,4,3,1,0,0,0,0,0,4200,3000,0,W
1127430,3031,58,90,1,1,0,0,0,0,0,0,300,300,0,W
664090,1824,-12,5,2,2,0,0,0,0,0,0,1100,600,0,W
320150,1012,-58,-42,2,0,2,0,0,0,0,0,5000,3000,0,W
768080,2124,8,24,1,1,0,0,0,0,0,0,300,300,0,W
474770,1512,-32,-14,0,0,0,0,0,0,0,0,0,0,0,W
682910,1486,-2,-18,2,0,2,0,0,0,0,0,6000,4000,0,W
1256570,3289,86,88,3,2,1,0,0,0,0,0,6200,5000,0,W
576040,1541,-24,-22,1,1,0,0,0,0,0,0,900,900,0,W
782750,1593,9,-17,2,0,2,0,0,0,0,0,6000,3000,0,W
1371400,3040,91,63,1,1,0,0,0,0,0,0,300,300,0,W
891720,2037,11,0,0,0,0,0,0,0,0,0,0,0,0,W
1034700,1837,33,-6,1,0,1,0,0,0,0,0,2000,2000,1,W
2129020,3722,161,91,2,1,0,1,0,0,0,0,20600,20000,0,W
1547010,3060,55,38,3,1,2,0,0,0,0,0,6500,4000,0,W
924910,1869,-14,-19,0,0,0,0,0,0,0,0,0,0,0,W
1988970,3697,78,57,0,0,0,0,0,0,0,0,0,0,0,W
218630,645,-11,14,1,0,1,0,0,0,0,0,3000,3000,0,N
1018360,2263,-19,-12,0,0,0,0,0,0,0,0,0,0,0,W
1189240,2159,-3,-12,3,2,1,0,0,0,0,0,5200,4000,0,W
1582550,2545,23,1,0,0,0,0,0,0,0,0,0,0,0,W
927530,1777,-32,-32,1,0,1,0,0,0,0,0,3000,3000,0,W
2052510,3635,55,46,1,1,0,0,0,0,0,0,800,800,0,W
1260100,2519,-12,-5,1,1,0,0,0,0,0,0,600,600,0,W
1062280,1982,-27,-27,2,1,1,0,0,0,0,0,5200,5000,0,W
2196220,3848,62,51,3,1,2,0,0,0,0,0,8500,4000,0,W
1138340,2106,-20,-20,2,0,2,0,0,0,0,0,11000,9000,0,W
918020,1759,-36,-34,2,0,2,0,0,0,0,0,5000,3000,0,W
1766860,2899,32,18,0,0,0,0,0,0,0,0,0,0,1,W
1699290,3425,21,36,1,0,0,1,0,0,0,0,50000,50000,0,W
301550,922,32,66,1,0,1,0,0,0,0,0,3000,3000,0,N
1355970,2326,-7,-12,0,0,0,0,0,0,0,0,0,0,0,W
2595650,4365,81,66,0,0,0,0,0,0,0,0,0,0,0,W
2160800,4518,35,57,4,2,2,0,0,0,0,0,5100,2000,0,W
1367850,3137,-15,5,1,0,1,0,0,0,0,0,1000,1000,0,W
251120,624,1,1,0,0,0,0,0,0,0,0,0,0,0,N
157450,418,-33,-31,0,0,0,0,0,0,0,0,0,0,0,N
129740,306,-39,-44,0,0,0,0,0,0,0,0,0,0,0,N
144520,407,-34,-27,1,0,1,0,0,0,0,0,3000,3000,0,N
1345240,3510,-17,16,0,0,0,0,0,0,0,0,0,0,0,W
2102300,4014,27,26,2,0,2,0,0,0,0,0,4000,3000,0,W
219070,475,15,-4,0,0,0,0,0,0,0,0,0,0,0,N
628360,636,-37,-58,2,1,1,0,0,0,0,0,2300,2000,0,W
1449990,1581,51,12,0,0,0,0,0,0,0,0,0,0,0,W
1531530,1680,52,18,2,0,2,0,0,0,0,0,5000,3000,0,W
195510,321,-61,-57,1,0,1,0,0,0,0,0,6000,6000,0,N
1312110,1471,24,2,1,0,1,0,0,0,0,0,3000,3000,0,W
315650,645,-33,-9,1,0,1,0,0,0,0,0,5000,5000,0,N
1061760,1443,-3,0,1,0,1,0,0,0,0,0,3000,3000,1,W
1283710,1556,17,9,2,1,0,1,0,0,0,0,40600,40000,0,W
1134540,1363,1,-5,2,0,2,0,0,0,0,0,7000,5000,0,W
525630,734,-54,-48,1,1,0,0,0,0,0,0,200,200,0,W
1661100,1772,52,32,1,0,1,0,0,0,0,0,9000,9000,0,W
1310730,1504,13,9,2,1,1,0,0,0,0,0,4200,4000,0,W
1101540,1185,-7,-14,0,0,0,0,0,0,0,0,0,0,0,W
1496830,1645,21,15,3,2,1,0,0,0,0,0,5700,5000,0,W
1323740,1405,7,-2,1,0,1,0,0,0,0,0,3000,3000,0,W
943300,987,-23,-30,2,1,1,0,0,0,0,0,1400,1000,0,W
348780,723,-23,4,1,1,0,0,0,0,0,0,300,300,0,N
154420,319,-46,-43,1,0,1,0,0,0,0,0,3000,3000,0,N
1514120,1518,28,12,3,2,1,0,0,0,0,0,1900,1000,1,W
1811640,1927,47,41,1,0,0,1,0,0,0,0,40000,40000,0,W
1446770,1471,13,5,0,0,0,0,0,0,0,0,0,0,0,W
1132810,1893,-14,34,5,3,2,0,0,0,0,0,7000,3000,1,W
1367690,2902,0,90,4,2,1,1,0,0,0,0,25400,20000,0,W
814170,2082,-39,27,2,1,1,0,0,0,0,0,1700,1000,0,W
600400,1688,-54,-1,2,1,1,0,0,0,0,0,2200,2000,1,W
886800,2519,-29,44,3,0,2,1,0,0,0,0,49000,40000,0,W
588930,1807,-50,-2,1,0,1,0,0,0,0,0,4000,4000,1,W
542890,1623,-51,-14,3,0,2,1,0,0,0,0,25000,20000,0,W
1104700,2584,3,33,0,0,0,0,0,0,0,0,0,0,0,W
734930,2062,-29,1,2,1,1,0,0,0,0,0,4800,4000,0,W
509190,1758,-45,-15,2,1,1,0,0,0,0,0,2300,2000,1,W
480250,2368,-42,13,2,0,1,1,0,0,0,0,34000,30000,0,W
428740,2031,-44,-5,1,0,1,0,0,0,0,0,4000,4000,0,W
450060,2019,-33,-2,3,0,3,0,0,0,0,0,14000,8000,0,W
627380,3155,-1,54,1,1,0,0,0,0,0,0,800,800,1,W
448900,2162,-29,-1,5,1,3,1,0,0,0,0,31500,20000,0,W
453850,1973,-23,-9,1,0,1,0,0,0,0,0,8000,8000,0,W
779850,2999,35,38,2,1,1,0,0,0,0,0,5600,5000,0,W
146840,744,-68,-46,1,0,1,0,0,0,0,0,2000,2000,0,N
675030,1992,12,-14,4,1,3,0,0,0,0,0,5300,2000,0,W
811060,2877,45,28,2,2,0,0,0,0,0,0,900,700,0,W
538060,2075,-5,-11,2,2,0,0,0,0,0,0,900,700,1,W
372470,1848,-35,-22,3,0,2,1,0,0,0,0,70000,60000,1,W
439210,2259,-21,-2,6,3,2,1,0,0,0,0,18000,10000,0,W
286300,1381,-49,-41,0,0,0,0,0,0,0,0,0,0,0,W
576200,1558,15,-22,6,3,3,0,0,0,0,0,21300,8000,1,W
833250,1840,64,-6,4,1,2,1,0,0,0,0,14600,10000,0,W
836500,2313,55,19,4,0,4,0,0,0,0,0,19000,9000,1,W
571990,1608,0,-18,4,0,3,1,0,0,0,0,44000,30000,0,W
754760,2218,30,15,2,1,1,0,0,0,0,0,3200,3000,1,W
834760,2307,37,18,4,0,2,2,0,0,0,0,54000,30000,0,W
450490,1437,-30,-28,6,2,4,0,0,0,0,0,12700,4000,1,W
932410,2464,47,28,7,4,2,1,0,0,0,0,36500,30000,1,W
568200,1834,-16,-7,4,2,1,1,0,0,0,0,32700,30000,1,W
452730,1349,-34,-31,3,0,1,2,0,0,0,0,64000,30000,0,W
833660,2493,22,32,4,2,2,0,0,0,0,0,11000,6000,0,W
131820,583,-47,-42,1,0,1,0,0,0,0,0,1000,1000,0,N
72250,339,-70,-65,0,0,0,0,0,0,0,0,0,0,0,N
58850,236,-73,-74,0,0,0,0,0,0,0,0,0,0,0,N
54750,233,-38,-40,0,0,0,0,0,0,0,0,0,0,0,N
43600,194,-48,-48,0,0,0,0,0,0,0,0,0,0,0,N
58200,219,-27,-38,1,0,1,0,0,0,0,0,3000,3000,0,N
53320,203,-31,-39,1,0,1,0,0,0,0,0,4000,4000,0,N
447360,1332,-37,-33,2,1,1,0,0,0,0,0,8400,8000,1,W
993080,3023,49,56,3,1,0,2,0,0,0,0,70800,40000,1,W
593950,1972,-13,-2,4,2,1,1,0,0,0,0,32800,30000,0,W
570400,1892,-17,-7,2,0,2,0,0,0,0,0,11000,7000,0,W
788650,2361,18,17,3,2,1,0,0,0,0,0,6100,5000,1,W
383490,1401,-42,-30,1,0,0,1,0,0,0,0,30000,30000,0,W
415690,1486,-37,-26,1,0,1,0,0,0,0,0,7000,7000,1,W
645750,2035,7,6,4,1,1,2,0,0,0,0,63800,40000,0,W
649840,2256,6,17,3,1,2,0,0,0,0,0,8400,7000,1,W
380320,1545,-40,-24,4,1,2,1,0,0,0,0,30900,20000,1,W
401730,1329,-32,-31,3,2,0,1,0,0,0,0,91700,90000,1,W
459160,1714,-21,-11,1,0,0,1,0,0,0,0,40000,40000,0,W
285990,1109,67,62,1,0,1,0,0,0,0,0,6000,6000,0,N
557510,1946,5,8,3,2,1,0,0,0,0,0,5800,5000,1,W
536260,1733,2,-4,2,0,1,1,0,0,0,0,74000,70000,0,W
90160,425,-48,-39,0,0,0,0,0,0,0,0,0,0,0,N
55350,246,-65,-61,1,0,1,0,0,0,0,0,3000,3000,0,N
72780,269,-48,-52,1,0,1,0,0,0,0,0,3000,3000,0,N
498400,1647,-4,-8,1,1,0,0,0,0,0,0,300,300,0,W
342050,1607,-2,-20,0,0,0,0,0,0,0,0,0,0,0,N
434360,1584,-38,-60,2,0,2,0,0,0,0,0,9000,6000,1,W
366500,1484,-46,-61,1,0,0,1,0,0,0,0,30000,30000,0,W
507230,2116,-21,-40,1,0,1,0,0,0,0,0,3000,3000,0,W
388530,1539,-11,-11,2,1,1,0,0,0,0,0,3200,3000,1,W
329680,1268,-24,-26,1,0,0,1,0,0,0,0,70000,70000,0,W
579440,2343,38,41,1,0,1,0,0,0,0,0,3000,3000,0,W
292040,1233,-33,-29,0,0,0,0,0,0,0,0,0,0,0,W
261010,1352,-38,-19,2,1,1,0,0,0,0,0,3700,3000,1,W
394660,1764,-2,8,3,1,1,1,0,0,0,0,35900,30000,1,W
464220,1808,16,10,2,1,0,1,0,0,0,0,40700,40000,0,W
393140,1685,-2,2,3,2,1,0,0,0,0,0,5200,4000,0,W
742750,3037,87,85,4,0,4,0,0,0,0,0,18000,8000,0,W
820600,3506,92,97,2,1,1,0,0,0,0,0,8700,8000,1,W
289580,1986,-38,2,2,0,1,1,0,0,0,0,54000,50000,0,W
577770,2765,27,38,1,0,1,0,0,0,0,0,2000,2000,1,W
347400,1684,-28,-22,2,0,1,1,0,0,0,0,31000,30000,0,W
72370,581,-79,-70,0,0,0,0,0,0,0,0,0,0,0,N
59210,440,-82,-76,1,0,1,0,0,0,0,0,2000,2000,0,N
42560,379,-73,-57,1,0,1,0,0,0,0,0,4000,4000,0,N
268170,1352,-41,-35,1,1,0,0,0,0,0,0,400,400,1,W
632800,2959,39,41,2,0,1,1,0,0,0,0,25000,20000,0,W
332180,1890,-33,-16,1,0,1,0,0,0,0,0,1000,1000,1,W
172250,1250,-43,-50,2,0,1,1,0,0,0,0,73000,70000,0,W
256850,1650,-11,-31,4,4,0,0,0,0,0,0,1800,700,0,W
199030,1255,-30,-45,2,2,0,0,0,0,0,0,700,400,1,W
192650,1185,-8,-14,4,2,1,1,0,0,0,0,27100,20000,1,W
320110,1844,54,35,2,1,0,1,0,0,0,0,20600,20000,1,W
233800,1315,7,-7,3,2,0,1,0,0,0,0,20700,20000,0,W
206610,1421,-7,1,2,1,1,0,0,0,0,0,4200,4000,1,W
244480,1576,11,12,3,2,0,1,0,0,0,0,51200,50000,0,W
430310,1955,92,37,2,1,1,0,0,0,0,0,1200,1000,0,W
311200,1147,-38,-62,3,1,2,0,0,0,0,0,14400,9000,0,W
478520,1493,-1,-47,4,3,1,0,0,0,0,0,4300,3000,0,W
65250,450,-74,-70,0,0,0,0,0,0,0,0,0,0,1,N
379670,1456,-21,-45,2,0,0,2,0,0,0,0,40000,20000,0,W
887140,3327,128,144,5,3,2,0,0,0,0,0,6200,2000,1,W
690550,3915,28,29,3,1,1,1,0,0,0,0,34400,30000,1,W
397280,1630,-29,-48,3,1,1,1,0,0,0,0,31300,30000,0,W
609620,2344,11,-22,2,2,0,0,0,0,0,0,900,500,1,W
136810,746,-41,-47,1,0,0,1,0,0,0,0,40000,40000,0,N
358490,1231,-36,-58,1,1,0,0,0,0,0,0,400,400,0,W
581540,2102,7,-23,2,1,1,0,0,0,0,0,6500,6000,1,W
545470,1894,-1,-29,4,1,1,2,0,0,0,0,53600,30000,0,W
102550,731,-53,-45,0,0,0,0,0,0,0,0,0,0,0,N
66800,441,-34,-31,0,0,0,0,0,0,0,0,0,0,0,N
67210,420,-31,-32,1,0,1,0,0,0,0,0,4000,4000,0,N
532290,2055,-4,-19,2,0,2,0,0,0,0,0,4000,2000,0,W
511560,2205,-9,-10,5,2,3,0,0,0,0,0,9700,5000,0,W
546980,2212,-3,-7,1,1,0,0,0,0,0,0,100,100,1,W
155980,742,65,24,1,0,0,1,0,0,0,0,20000,20000,0,N
12340,125,-88,-79,1,1,0,0,0,0,0,0,400,400,0,N
5920,82,-94,-85,0,0,0,0,0,0,0,0,0,0,0,N
4150,67,-95,-87,0,0,0,0,0,0,0,0,0,0,0,N
10420,62,-85,-86,1,0,1,0,0,0,0,0,1000,1000,0,N
2970,50,-95,-87,0,0,0,0,0,0,0,0,0,0,0,N
4230,48,-92,-85,0,0,0,0,0,0,0,0,0,0,0,N
3210,47,-93,-82,0,0,0,0,0,0,0,0,0,0,0,N
3550,38,-89,-82,0,0,0,0,0,0,0,0,0,0,0,N
3170,36,-88,-79,0,0,0,0,0,0,0,0,0,0,0,N
4490,35,-78,-73,0,0,0,0,0,0,0,0,0,0,0,N
8790,53,-91,-91,1,0,1,0,0,0,0,0,3000,3000,0,N
55730,387,-89,-87,3,2,1,0,0,0,0,0,9600,8000,1,W
94740,732,-79,-73,3,2,0,1,0,0,0,0,21000,20000,0,W
91510,768,-78,-69,3,2,1,0,0,0,0,0,5900,5000,1,W
92450,777,15,24,4,1,2,1,0,0,0,0,27600,10000,0,W
189840,1276,-50,-45,6,1,5,0,0,0,0,0,17900,7000,1,W
108010,889,-70,-60,4,1,2,1,0,0,0,0,41200,30000,0,W
71660,532,-78,-74,2,1,1,0,0,0,0,0,2800,2000,0,W
122850,886,-58,-52,3,2,1,0,0,0,0,0,6900,6000,1,W
110510,708,-58,-58,4,2,1,1,0,0,0,0,44200,40000,0,W
91420,774,-61,-49,4,1,3,0,0,0,0,0,12700,9000,1,W
